Title,Author,Main Genre,Borrowed,BorrowedBy
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts,0,
"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,0,
The Kite Runner,Khaled Hosseini,"Arts,0,
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts,0,
"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,0,
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts,0,
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts,0,
Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts,0,
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts,0,
Screenplay,Syd Field,"Arts,0,
One Day,David Nicholls,"Arts,0,
SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts,0,
A PRINCESS REMEMBERS (PB),Maharani Gayatri,"Arts,0,
The Anatomy of Story,John Truby,"Arts,0,
Studio Ghibli: The Complete Works,Studio Ghibli,"Arts,0,
"Story: Style, Structure, Substance,0,
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts,0,
BRUCE LEE,Matthew Polly,"Arts,0,
JOURNEYS IN THE WILD,Sir David Attenborough,"Arts,0,
Speaking Of Films (The Penguin Ray Library),Satyajit Ray,"Arts,0,
Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,"Arts,0,
"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,0,
Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,"Arts,0,
"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [Hardcover] Rowling, J.K. and Kloves, Steve",0,
Conversations with Mani Ratnam (PB),Baradwaj Rangan,"Arts,0,
Hitchcock,Francois Truffaut,"Arts,0,
Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts,0,
Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,"Arts,0,
Changing The Lens: Exploring The Depths Of Film And Philosophy,Dr Ruplekha Khullar & Sulagna Pal,"Arts,0,
This Life at Play: Memoirs,Girish Karnad,"Arts,0,
The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,"Arts,0,
Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts,0,
On Directing Film,David Mamet,"Arts,0,
The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,"Arts,0,
ILLUSION OF LIFE,Frank Thomas,"Arts,0,
Sara Aakash [Paperback] Rajendra Yadav,Rajendra Yadav,"Arts,0,
The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,"Arts,0,
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts,0,
Madhubala: Her Real Life Story (General Press),Manju Gupta,"Arts,0,
Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),"Arts,0,
Will,Will Smith,"Arts,1,Renzo
Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,"Arts,0,
The Musical Maverick: The Authorized Biography of Shankar Mahadevan,Ashis Ghatak,"Arts,0,
"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,0,
Sara Aakash Patkatha (Hindi Edition),Rajendra Yadav & Basu Chatterji,"Arts,0,
"Bondhu: My Father, My Friend (The India List)",Kunal Sen,0,
Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts,0,
The Science of Interstellar,Kip Thorne,"Arts,0,
"STORY MAPS: The Dark Knight Trilogy (Batman Begins, The Dark Knight, The Dark Knight Rises)",0,
"Animator's Survival Kit, The",Richard E. Williams,0,
Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,"Arts,0,
THE ARTIST'S WAY,Julia Cameron,"Arts,0,
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 1,Trinity College London Press,"Arts,0,
Malibu Rising,Taylor Jenkins Reid,"Arts,0,
Six String Entertainment Pvt Ltd Blank Music manuscript book- 12 Stave : 32 pages (16 sheets),SIX STRING MUSIC,"Arts,0,
Piano 2021-2023. Grade 1,Trinity College London,"Arts,0,
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts,0,
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade: And Technical Work - Initial Grade,Joanna Clarke,"Arts,0,
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 3,Trinity College London Press,"Arts,0,
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 2: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts,0,
John Thompson's Easiest Piano Course - Part 1 - Book Only: Part 1 - Book Only,John Thompson,"Arts,0,
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 3: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts,0,
Trinity College London Acoustic Guitar Exam Pieces 2020–2023: Initial–Grade 2: Initial to Grade 2,Trinity College London,"Arts,0,
"Six String Entertainment Pvt Ltd Music manuscript Book- 12 stave: 100 pages, 50 Sheet (Leaves)",SIX STRING MUSIC,0,
"WHEN IN ROME: The charming new rom-com from the author of the TikTok sensation, THE CHEAT SHEET!",Sarah Adams,0,
John Thompson's Modern Course for the Piano - First Grade (Book Only): First Grade - English: The First Grade Book : Something New Every Lesson,John Thompson,"Arts,0,
"Theory of Music Workbook Grade 1 (2007): Ursula Moray Williams, Gobbolino and the Little Wooden Horse",Trinity College London,0,
Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts,0,
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 2,Trinity College London Press,"Arts,0,
Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts,0,
Sangeeta Bala Padam - Varnam Part 2,Giri,"Arts,0,
Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts,0,
Sangeeta Bala Padam - Varnam Part - 2 (Hardcover),Giri,"Arts,0,
THE CHEAT SHEET: TikTok made me buy it! The friends-to-lovers rom-com hit sensation!,Sarah Adams,"Arts,0,
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts,0,
Just Kids,Patti Smith,"Arts,0,
Daisy Jones and The Six,Taylor Jenkins Reid,"Arts,0,
Hindustani Sangeet Paddhati Kramik Pustak Malika Part 1,Pandit Vishnu Narayan Bhatkhande,"Arts,0,
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 4,Trinity College London,"Arts,0,
"Raag Parichay Part 1, 2, 3,0,
Kotha Sangeeta Vidyadarpanam,Sri Ekha Subba Rao,"Arts,0,
John Thompson's Easiest Piano Course - Part 2 - Book Only: Part 2 - Book Only,John Thompson,"Arts,0,
"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,0,
"Discovering Music Theory, The ABRSM Grade 1 Workbook",ABRSM,0,
Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts,0,
J I YA JALE THE STORIES OF SONGS,Nasreen Munni Kabir Gulzar,"Arts,0,
"Violin Scales, Arpeggios & Studies Initial-Grade 8 From 2016",Trinity College London,0,
Net Sangeet,Dr. Tejsingh Taak,"Arts,0,
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,"Arts,0,
Concepts Of Vocal Music Class 12 (Second Edition),Pt. Satish Chandra Srivastava,"Arts,0,
"Piano Adventures, Primer Level, Lesson Book",0,
Ganamrutha Bodhini Sangeetha Bala Padam English & Varna Malika (English) latest versions,Sangeetha Vidwan A.S. Panchapakesa Iyer,"Arts,0,
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts,0,
Best of Taylor Swift : Song collection,Aishi,"Arts,0,
Learn Your Fretboard: The Essential Memorization Guide for Guitar (Book + Online Bonus),Luke Zecchin,"Arts,0,
Bollywood Odyssey: The Singing Taxman's Journey Into Film Music,Ajay Mankotia,"Arts,0,
"ABRSM Grade 3 Theory Workbook, Discovering Music Theory(New Syllabus 2021)",ABRSM Publication,0,
"Solfège Des Solfèges, Complete, Book I,0,
A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,"Arts,0,
